State,Year,Month,Crime Description,Crime Count
Andhra Pradesh,2020,1,ASSAULT,55200
Andhra Pradesh,2020,1,BURGLARY,9900
Andhra Pradesh,2020,1,COUNTER_FEITING,36500
Andhra Pradesh,2020,1,CYBER_CRIME,38900
Andhra Pradesh,2020,1,DOMESTIC_VIOLENCE,10600
Andhra Pradesh,2020,1,DRUG_OFFENCE,17300
Andhra Pradesh,2020,1,EXTORTION,35800
Andhra Pradesh,2020,1,FIREARM_OFFENCE,1900
Andhra Pradesh,2020,1,FRAUD,16000
Andhra Pradesh,2020,1,HOMICIDE,6900
Andhra Pradesh,2020,1,IDENTITY_THEFT,45100
Andhra Pradesh,2020,1,ILLEGAL_POSSESION,29800
Andhra Pradesh,2020,1,KIDNAPPING,5600
Andhra Pradesh,2020,1,PUBLIC_INTOXICATION,36200
Andhra Pradesh,2020,1,ROBBERY,23800
Andhra Pradesh,2020,1,SEXUAL_ASSUALT,18400
Andhra Pradesh,2020,1,SHOP_LIFTING,20700
Andhra Pradesh,2020,1,TRAFFIC_VIOLATION,14500
Andhra Pradesh,2020,1,VANDALISM,55000
Andhra Pradesh,2020,1,VEHICLE_STOLEN,24200
Arunachal Pradesh,2020,1,ARSON,19100
Arunachal Pradesh,2020,1,ASSAULT,48500
Arunachal Pradesh,2020,1,BURGLARY,7800
Arunachal Pradesh,2020,1,COUNTER_FEITING,14000
Arunachal Pradesh,2020,1,CYBER_CRIME,11700
Arunachal Pradesh,2020,1,DOMESTIC_VIOLENCE,12100
Arunachal Pradesh,2020,1,DRUG_OFFENCE,4900
Arunachal Pradesh,2020,1,EXTORTION,4000
Arunachal Pradesh,2020,1,FIREARM_OFFENCE,3000
Arunachal Pradesh,2020,1,FRAUD,31300
Arunachal Pradesh,2020,1,HOMICIDE,9400
Arunachal Pradesh,2020,1,IDENTITY_THEFT,8000
Arunachal Pradesh,2020,1,ILLEGAL_POSSESION,17300
Arunachal Pradesh,2020,1,KIDNAPPING,58900
Arunachal Pradesh,2020,1,PUBLIC_INTOXICATION,14600
Arunachal Pradesh,2020,1,ROBBERY,18600
Arunachal Pradesh,2020,1,SEXUAL_ASSUALT,38700
Arunachal Pradesh,2020,1,SHOP_LIFTING,36600
Arunachal Pradesh,2020,1,TRAFFIC_VIOLATION,14700
Arunachal Pradesh,2020,1,VANDALISM,12800
Arunachal Pradesh,2020,1,VEHICLE_STOLEN,52600
Assam,2020,1,ARSON,31700
Assam,2020,1,ASSAULT,6900
Assam,2020,1,BURGLARY,19000
Assam,2020,1,COUNTER_FEITING,28000
Assam,2020,1,CYBER_CRIME,35400
Assam,2020,1,DOMESTIC_VIOLENCE,36800
Assam,2020,1,DRUG_OFFENCE,18700
Assam,2020,1,FIREARM_OFFENCE,10900
Assam,2020,1,FRAUD,22800
Assam,2020,1,HOMICIDE,17700
Assam,2020,1,IDENTITY_THEFT,24100
Assam,2020,1,ILLEGAL_POSSESION,4500
Assam,2020,1,KIDNAPPING,30300
Assam,2020,1,PUBLIC_INTOXICATION,23200
Assam,2020,1,ROBBERY,2800
Assam,2020,1,SEXUAL_ASSUALT,34000
Assam,2020,1,SHOP_LIFTING,31200
Assam,2020,1,TRAFFIC_VIOLATION,10400
Assam,2020,1,VANDALISM,18000
Assam,2020,1,VEHICLE_STOLEN,9500
Bihar,2020,1,ARSON,6900
Bihar,2020,1,ASSAULT,31600
Bihar,2020,1,BURGLARY,9200
Bihar,2020,1,COUNTER_FEITING,21400
Bihar,2020,1,CYBER_CRIME,4700
Bihar,2020,1,DOMESTIC_VIOLENCE,11900
Bihar,2020,1,DRUG_OFFENCE,9100
Bihar,2020,1,EXTORTION,14300
Bihar,2020,1,FRAUD,47200
Bihar,2020,1,HOMICIDE,33000
Bihar,2020,1,IDENTITY_THEFT,20300
Bihar,2020,1,ILLEGAL_POSSESION,31100
Bihar,2020,1,KIDNAPPING,46100
Bihar,2020,1,PUBLIC_INTOXICATION,21300
Bihar,2020,1,ROBBERY,52500
Bihar,2020,1,SEXUAL_ASSUALT,8100
Bihar,2020,1,SHOP_LIFTING,49100
Bihar,2020,1,TRAFFIC_VIOLATION,34900
Bihar,2020,1,VANDALISM,10800
Bihar,2020,1,VEHICLE_STOLEN,33600
Chhattisgarh,2020,1,ARSON,3900
Chhattisgarh,2020,1,ASSAULT,19300
Chhattisgarh,2020,1,BURGLARY,17800
Chhattisgarh,2020,1,COUNTER_FEITING,2000
Chhattisgarh,2020,1,CYBER_CRIME,22800
Chhattisgarh,2020,1,DOMESTIC_VIOLENCE,22100
Chhattisgarh,2020,1,DRUG_OFFENCE,29600
Chhattisgarh,2020,1,EXTORTION,11100
Chhattisgarh,2020,1,FIREARM_OFFENCE,23300
Chhattisgarh,2020,1,FRAUD,33000
Chhattisgarh,2020,1,HOMICIDE,12600
Chhattisgarh,2020,1,IDENTITY_THEFT,36700
Chhattisgarh,2020,1,ILLEGAL_POSSESION,23200
Chhattisgarh,2020,1,KIDNAPPING,48300
Chhattisgarh,2020,1,PUBLIC_INTOXICATION,5700
Chhattisgarh,2020,1,ROBBERY,30500
Chhattisgarh,2020,1,SEXUAL_ASSUALT,5700
Chhattisgarh,2020,1,SHOP_LIFTING,24100
Chhattisgarh,2020,1,TRAFFIC_VIOLATION,2200
Chhattisgarh,2020,1,VANDALISM,59700
Chhattisgarh,2020,1,VEHICLE_STOLEN,11500
Goa,2020,1,ARSON,3900
Goa,2020,1,ASSAULT,27500
Goa,2020,1,BURGLARY,6100
Goa,2020,1,COUNTER_FEITING,18500
Goa,2020,1,CYBER_CRIME,5100
Goa,2020,1,DOMESTIC_VIOLENCE,36800
Goa,2020,1,DRUG_OFFENCE,23100
Goa,2020,1,EXTORTION,40100
Goa,2020,1,FIREARM_OFFENCE,43300
Goa,2020,1,FRAUD,7800
Goa,2020,1,HOMICIDE,12600
Goa,2020,1,IDENTITY_THEFT,22000
Goa,2020,1,ILLEGAL_POSSESION,22900
Goa,2020,1,KIDNAPPING,25900
Goa,2020,1,PUBLIC_INTOXICATION,31800
Goa,2020,1,ROBBERY,27300
Goa,2020,1,SEXUAL_ASSUALT,9800
Goa,2020,1,SHOP_LIFTING,27600
Goa,2020,1,TRAFFIC_VIOLATION,18800
Goa,2020,1,VANDALISM,23400
Goa,2020,1,VEHICLE_STOLEN,34000
Gujarat,2020,1,ARSON,19600
Gujarat,2020,1,ASSAULT,7000
Gujarat,2020,1,BURGLARY,27500
Gujarat,2020,1,COUNTER_FEITING,27900
Gujarat,2020,1,CYBER_CRIME,49600
Gujarat,2020,1,DOMESTIC_VIOLENCE,19100
Gujarat,2020,1,DRUG_OFFENCE,24300
Gujarat,2020,1,EXTORTION,40800
Gujarat,2020,1,FIREARM_OFFENCE,27000
Gujarat,2020,1,FRAUD,36000
Gujarat,2020,1,HOMICIDE,7700
Gujarat,2020,1,ILLEGAL_POSSESION,12400
Gujarat,2020,1,KIDNAPPING,22600
Gujarat,2020,1,PUBLIC_INTOXICATION,26700
Gujarat,2020,1,ROBBERY,21100
Gujarat,2020,1,SEXUAL_ASSUALT,10800
Gujarat,2020,1,SHOP_LIFTING,25200
Gujarat,2020,1,TRAFFIC_VIOLATION,22300
Gujarat,2020,1,VANDALISM,6000
Gujarat,2020,1,VEHICLE_STOLEN,31600
Haryana,2020,1,ARSON,37000
Haryana,2020,1,ASSAULT,12500
Haryana,2020,1,BURGLARY,11600
Haryana,2020,1,COUNTER_FEITING,29000
Haryana,2020,1,CYBER_CRIME,28800
Haryana,2020,1,DOMESTIC_VIOLENCE,15800
Haryana,2020,1,DRUG_OFFENCE,16800
Haryana,2020,1,EXTORTION,3400
Haryana,2020,1,FIREARM_OFFENCE,41800
Haryana,2020,1,FRAUD,8000
Haryana,2020,1,HOMICIDE,31000
Haryana,2020,1,IDENTITY_THEFT,27400
