,State,Year,Month,Crime Description,Crime Count
0,Andhra Pradesh,2020,2,ARSON,2.0
1,Andhra Pradesh,2020,3,ARSON,1.0
2,Andhra Pradesh,2020,5,ARSON,3.0
3,Andhra Pradesh,2020,8,ARSON,1.0
4,Andhra Pradesh,2020,11,ARSON,3.0
5,Andhra Pradesh,2021,1,ARSON,1.0
6,Andhra Pradesh,2021,2,ARSON,1.0
7,Andhra Pradesh,2021,5,ARSON,1.0
8,Andhra Pradesh,2021,6,ARSON,1.0
9,Andhra Pradesh,2021,8,ARSON,3.0
10,Andhra Pradesh,2021,10,ARSON,2.0
11,Andhra Pradesh,2021,12,ARSON,1.0
12,Andhra Pradesh,2022,1,ARSON,1.0
13,Andhra Pradesh,2022,4,ARSON,2.0
14,Andhra Pradesh,2022,9,ARSON,1.0
15,Andhra Pradesh,2022,11,ARSON,1.0
16,Andhra Pradesh,2022,12,ARSON,4.0
17,Andhra Pradesh,2023,5,ARSON,2.0
18,Andhra Pradesh,2023,7,ARSON,1.0
19,Andhra Pradesh,2023,11,ARSON,2.0
20,Andhra Pradesh,2023,12,ARSON,2.0
21,Andhra Pradesh,2020,10,ASSAULT,1.0
22,Andhra Pradesh,2020,11,ASSAULT,2.0
23,Andhra Pradesh,2020,12,ASSAULT,4.0
24,Andhra Pradesh,2021,1,ASSAULT,1.0
25,Andhra Pradesh,2021,2,ASSAULT,1.0
26,Andhra Pradesh,2021,4,ASSAULT,1.0
27,Andhra Pradesh,2021,5,ASSAULT,2.0
28,Andhra Pradesh,2021,7,ASSAULT,2.0
29,Andhra Pradesh,2021,9,ASSAULT,3.0
30,Andhra Pradesh,2021,10,ASSAULT,1.0
31,Andhra Pradesh,2021,11,ASSAULT,1.0
32,Andhra Pradesh,2021,12,ASSAULT,1.0
33,Andhra Pradesh,2022,2,ASSAULT,1.0
34,Andhra Pradesh,2022,3,ASSAULT,1.0
35,Andhra Pradesh,2022,5,ASSAULT,1.0
36,Andhra Pradesh,2022,6,ASSAULT,1.0
37,Andhra Pradesh,2023,8,ASSAULT,2.0
38,Andhra Pradesh,2023,10,ASSAULT,2.0
39,Andhra Pradesh,2023,12,ASSAULT,2.0
40,Andhra Pradesh,2020,1,BURGLARY,1.0
41,Andhra Pradesh,2020,6,BURGLARY,2.0
42,Andhra Pradesh,2020,11,BURGLARY,1.0
43,Andhra Pradesh,2020,12,BURGLARY,1.0
44,Andhra Pradesh,2021,2,BURGLARY,3.0
45,Andhra Pradesh,2021,3,BURGLARY,2.0
46,Andhra Pradesh,2021,4,BURGLARY,1.0
47,Andhra Pradesh,2021,8,BURGLARY,1.0
48,Andhra Pradesh,2021,10,BURGLARY,1.0
49,Andhra Pradesh,2021,11,BURGLARY,1.0
50,Andhra Pradesh,2022,1,BURGLARY,1.0
51,Andhra Pradesh,2022,4,BURGLARY,2.0
52,Andhra Pradesh,2022,8,BURGLARY,1.0
53,Andhra Pradesh,2022,9,BURGLARY,2.0
