State,Year,Month,Crime Description,Crime Count
Andhra Pradesh,2020,1,BURGLARY,1
Andhra Pradesh,2020,1,COUNTERFEITING,2
Andhra Pradesh,2020,1,CYBERCRIME,2
Andhra Pradesh,2020,1,DOMESTIC VIOLENCE,1
Andhra Pradesh,2020,1,DRUG OFFENSE,1
Andhra Pradesh,2020,1,FIREARM OFFENSE,1
Andhra Pradesh,2020,1,FRAUD,1
Andhra Pradesh,2020,1,HOMICIDE,1
Andhra Pradesh,2020,1,ILLEGAL POSSESSION,1
Andhra Pradesh,2020,1,ROBBERY,1
Andhra Pradesh,2020,1,VANDALISM,1
Andhra Pradesh,2020,1,VEHICLE - STOLEN,1
Andhra Pradesh,2020,2,ARSON,2
Andhra Pradesh,2020,2,CYBERCRIME,1
Andhra Pradesh,2020,2,EXTORTION,1
Andhra Pradesh,2020,2,FRAUD,1
Andhra Pradesh,2020,2,HOMICIDE,1
Andhra Pradesh,2020,2,ILLEGAL POSSESSION,1
Andhra Pradesh,2020,2,ROBBERY,1
Andhra Pradesh,2020,3,ARSON,1
Andhra Pradesh,2020,3,DRUG OFFENSE,3
Andhra Pradesh,2020,3,EXTORTION,1
Andhra Pradesh,2020,3,HOMICIDE,2
Andhra Pradesh,2020,3,ILLEGAL POSSESSION,2
Andhra Pradesh,2020,3,KIDNAPPING,2
Andhra Pradesh,2020,3,SHOPLIFTING,1
Andhra Pradesh,2020,3,VANDALISM,2
Andhra Pradesh,2020,4,CYBERCRIME,1
Andhra Pradesh,2020,4,DOMESTIC VIOLENCE,1
Andhra Pradesh,2020,4,FIREARM OFFENSE,1
Andhra Pradesh,2020,4,IDENTITY THEFT,1
Andhra Pradesh,2020,4,ROBBERY,1
Andhra Pradesh,2020,4,SHOPLIFTING,1
Andhra Pradesh,2020,4,TRAFFIC VIOLATION,1
Andhra Pradesh,2020,5,ARSON,3
Andhra Pradesh,2020,5,COUNTERFEITING,1
Andhra Pradesh,2020,5,CYBERCRIME,1
Andhra Pradesh,2020,5,DOMESTIC VIOLENCE,1
Andhra Pradesh,2020,5,KIDNAPPING,1
Andhra Pradesh,2020,5,ROBBERY,1
Andhra Pradesh,2020,5,SEXUAL ASSAULT,2
Andhra Pradesh,2020,5,SHOPLIFTING,1
Andhra Pradesh,2020,5,TRAFFIC VIOLATION,1
Andhra Pradesh,2020,5,VANDALISM,4
Andhra Pradesh,2020,5,VEHICLE - STOLEN,2
Andhra Pradesh,2020,6,BURGLARY,2
Andhra Pradesh,2020,6,COUNTERFEITING,1
Andhra Pradesh,2020,6,CYBERCRIME,2
Andhra Pradesh,2020,6,DOMESTIC VIOLENCE,1
Andhra Pradesh,2020,6,FIREARM OFFENSE,1
Andhra Pradesh,2020,6,FRAUD,1
Andhra Pradesh,2020,6,IDENTITY THEFT,1
Andhra Pradesh,2020,6,KIDNAPPING,4
Andhra Pradesh,2020,6,PUBLIC INTOXICATION,2
Andhra Pradesh,2020,6,ROBBERY,2
Andhra Pradesh,2020,6,SHOPLIFTING,1
Andhra Pradesh,2020,6,TRAFFIC VIOLATION,2
Andhra Pradesh,2020,6,VEHICLE - STOLEN,1
Andhra Pradesh,2020,7,DOMESTIC VIOLENCE,1
Andhra Pradesh,2020,7,FIREARM OFFENSE,2
Andhra Pradesh,2020,7,FRAUD,2
Andhra Pradesh,2020,7,ILLEGAL POSSESSION,2
Andhra Pradesh,2020,7,SEXUAL ASSAULT,1
Andhra Pradesh,2020,7,SHOPLIFTING,1
Andhra Pradesh,2020,7,TRAFFIC VIOLATION,2
Andhra Pradesh,2020,7,VANDALISM,3
Andhra Pradesh,2020,8,ARSON,1
Andhra Pradesh,2020,8,COUNTERFEITING,1
Andhra Pradesh,2020,8,DOMESTIC VIOLENCE,1
Andhra Pradesh,2020,8,DRUG OFFENSE,2
Andhra Pradesh,2020,8,IDENTITY THEFT,1
Andhra Pradesh,2020,8,KIDNAPPING,1
Andhra Pradesh,2020,8,PUBLIC INTOXICATION,1
Andhra Pradesh,2020,8,ROBBERY,2
Andhra Pradesh,2020,8,SEXUAL ASSAULT,1
Andhra Pradesh,2020,8,TRAFFIC VIOLATION,1
Andhra Pradesh,2020,9,DOMESTIC VIOLENCE,3
Andhra Pradesh,2020,9,DRUG OFFENSE,1
Andhra Pradesh,2020,9,EXTORTION,1
Andhra Pradesh,2020,9,FRAUD,1
Andhra Pradesh,2020,9,ILLEGAL POSSESSION,1
Andhra Pradesh,2020,9,ROBBERY,2
Andhra Pradesh,2020,9,SEXUAL ASSAULT,2
Andhra Pradesh,2020,9,TRAFFIC VIOLATION,1
Andhra Pradesh,2020,9,VANDALISM,1
Andhra Pradesh,2020,9,VEHICLE - STOLEN,1
Andhra Pradesh,2020,10,ASSAULT,1
Andhra Pradesh,2020,10,DRUG OFFENSE,2
Andhra Pradesh,2020,10,FRAUD,2
Andhra Pradesh,2020,10,HOMICIDE,4
Andhra Pradesh,2020,10,IDENTITY THEFT,1
Andhra Pradesh,2020,10,ILLEGAL POSSESSION,1
Andhra Pradesh,2020,10,SHOPLIFTING,1
Andhra Pradesh,2020,10,TRAFFIC VIOLATION,1
Andhra Pradesh,2020,10,VEHICLE - STOLEN,3
Andhra Pradesh,2020,11,ARSON,3
Andhra Pradesh,2020,11,ASSAULT,2
Andhra Pradesh,2020,11,BURGLARY,1
Andhra Pradesh,2020,11,COUNTERFEITING,1
Andhra Pradesh,2020,11,DOMESTIC VIOLENCE,1
Andhra Pradesh,2020,11,DRUG OFFENSE,1
Andhra Pradesh,2020,11,EXTORTION,2
Andhra Pradesh,2020,11,FIREARM OFFENSE,1
Andhra Pradesh,2020,11,HOMICIDE,1
Andhra Pradesh,2020,11,IDENTITY THEFT,1
Andhra Pradesh,2020,11,SHOPLIFTING,1
Andhra Pradesh,2020,12,ASSAULT,4
Andhra Pradesh,2020,12,BURGLARY,1
Andhra Pradesh,2020,12,DRUG OFFENSE,1
Andhra Pradesh,2020,12,FIREARM OFFENSE,2
Andhra Pradesh,2020,12,FRAUD,1
Andhra Pradesh,2020,12,ILLEGAL POSSESSION,1
Andhra Pradesh,2020,12,PUBLIC INTOXICATION,1
Andhra Pradesh,2020,12,TRAFFIC VIOLATION,2
Andhra Pradesh,2020,12,VANDALISM,1
Andhra Pradesh,2021,1,ARSON,1
Andhra Pradesh,2021,1,ASSAULT,1
Andhra Pradesh,2021,1,CYBERCRIME,1
Andhra Pradesh,2021,1,DOMESTIC VIOLENCE,2
Andhra Pradesh,2021,1,FRAUD,2
Andhra Pradesh,2021,1,IDENTITY THEFT,2
Andhra Pradesh,2021,1,KIDNAPPING,2
Andhra Pradesh,2021,1,TRAFFIC VIOLATION,2
Andhra Pradesh,2021,1,VANDALISM,1
Andhra Pradesh,2021,1,VEHICLE - STOLEN,2
Andhra Pradesh,2021,2,ARSON,1
Andhra Pradesh,2021,2,ASSAULT,1
Andhra Pradesh,2021,2,BURGLARY,3
Andhra Pradesh,2021,2,CYBERCRIME,2
Andhra Pradesh,2021,2,PUBLIC INTOXICATION,1
Andhra Pradesh,2021,2,SEXUAL ASSAULT,2
Andhra Pradesh,2021,2,SHOPLIFTING,2
Andhra Pradesh,2021,2,TRAFFIC VIOLATION,1
Andhra Pradesh,2021,2,VANDALISM,1
Andhra Pradesh,2021,2,VEHICLE - STOLEN,1
Andhra Pradesh,2021,3,BURGLARY,2
Andhra Pradesh,2021,3,CYBERCRIME,1
Andhra Pradesh,2021,3,DOMESTIC VIOLENCE,1
Andhra Pradesh,2021,3,DRUG OFFENSE,1
Andhra Pradesh,2021,3,FIREARM OFFENSE,1
Andhra Pradesh,2021,3,FRAUD,3
Andhra Pradesh,2021,3,HOMICIDE,2
Andhra Pradesh,2021,3,KIDNAPPING,2
Andhra Pradesh,2021,3,TRAFFIC VIOLATION,1
Andhra Pradesh,2021,4,ASSAULT,1
Andhra Pradesh,2021,4,BURGLARY,1
Andhra Pradesh,2021,4,COUNTERFEITING,1
Andhra Pradesh,2021,4,EXTORTION,1
Andhra Pradesh,2021,4,FRAUD,1
Andhra Pradesh,2021,4,ILLEGAL POSSESSION,2
Andhra Pradesh,2021,4,KIDNAPPING,1
Andhra Pradesh,2021,4,ROBBERY,2
Andhra Pradesh,2021,4,SEXUAL ASSAULT,1
Andhra Pradesh,2021,4,SHOPLIFTING,1
Andhra Pradesh,2021,4,TRAFFIC VIOLATION,1
Andhra Pradesh,2021,4,VANDALISM,1
Andhra Pradesh,2021,4,VEHICLE - STOLEN,1
Andhra Pradesh,2021,5,ARSON,1
Andhra Pradesh,2021,5,ASSAULT,2
Andhra Pradesh,2021,5,DRUG OFFENSE,1
Andhra Pradesh,2021,5,FIREARM OFFENSE,1
